Personalnr;Name;Geburtsdatum;Eintritt;Wochenstunden;Tätigkeit;Unterhalt laut Personalbogen;Schwerbehinderung laut Personalbogen
019;Torben Hesse;1984-06-18;2019-04-01;40;Senior Vertrieb Industriekunden;"verheiratet; 2 Kinder, geboren 2014 und 2017";"keine Angabe; Bogen 2020"
007;Nils Berg;1976-10-12;2012-08-01;40;Vertriebsleitung;"verheiratet; 1 Kind";nein
021;Nora Seifert;1989-03-24;2020-02-01;40;Außendienst Serienkunden;"ledig; 1 Kind";nein
024;David Roth;1994-12-07;2022-06-01;40;Außendienst Standardmodule;"ledig; 0 Kinder";nein
016;Mina Scholz;1987-08-15;2017-09-01;32;Vertrieb Integration und Software;"verheiratet; 2 Kinder";nein
028;Emil Weber;1998-01-30;2024-03-01;30;Telefonvertrieb Kleinbestellungen;"ledig; 0 Kinder";nein
004;Derya Engel;1979-05-11;2011-05-01;35;Personal und Finanzen;"verheiratet; 1 Kind";nein
009;Sven Kühn;1982-09-05;2013-02-01;40;Elektronikentwicklung;"verheiratet; 2 Kinder";nein
011;Lea Fink;1985-02-16;2014-10-01;40;Firmwareentwicklung;"ledig; 0 Kinder";nein
014;Philipp Kern;1990-07-21;2016-04-01;40;Prüffeld;"ledig; 0 Kinder";nein
017;Rita Maas;1970-04-19;2018-01-01;30;Fertigung;"verheiratet; 0 Kinder";nein
018;Cem Aydin;1988-11-26;2018-09-01;40;Fertigung;"verheiratet; 2 Kinder";nein
020;Karla Behr;1992-06-04;2019-10-01;40;Fertigung;"ledig; 0 Kinder";nein
023;Jens Wolf;1981-12-14;2021-03-01;40;Versand;"verheiratet; 1 Kind";nein
025;Anja Grün;1995-09-02;2022-11-01;30;Einkauf;"ledig; 0 Kinder";nein
026;Oskar Seitz;1997-03-18;2023-04-01;40;IT und Geräteverwaltung;"ledig; 0 Kinder";nein
027;Mara Koch;1993-10-27;2023-09-01;25;Auftragsabwicklung;"verheiratet; 1 Kind";nein
