berater;rolle;abrechnungszeitraum;stunden;stundensatz_eur;honorar_netto_eur;schwerpunkt
Prof. Dr. Adalbert von Sompeh-Ostermann;Partner;2026-01;139,50;980;136710,00;Strategiekonzept RHEINGOLD und Vorstandstermine
Prof. Dr. Adalbert von Sompeh-Ostermann;Partner;2026-02;151,25;980;148225,00;Einigungsstelle 1. Sitzung und Buyout-Verhandlung Hanseatica
Prof. Dr. Adalbert von Sompeh-Ostermann;Partner;2026-03;184,00;980;180320,00;LAG-Schriftsätze und Einigungsstelle 2. Sitzung
Prof. Dr. Adalbert von Sompeh-Ostermann;Partner;2026-04 bis 08.04.;31,50;980;30870,00;PSVaG-Vorbehaltszahlung und Vorbereitung 3. Sitzung
Dr. Dr. Hartwig Treuenfels-Ostermann;Senior Partner (Of Counsel);2026-01;24,00;980;23520,00;
Dr. Dr. Hartwig Treuenfels-Ostermann;Senior Partner (Of Counsel);2026-02;18,50;980;18130,00;
Dr. Dr. Hartwig Treuenfels-Ostermann;Senior Partner (Of Counsel);2026-03;29,75;980;29155,00;
Dr. Dr. Hartwig Treuenfels-Ostermann;Senior Partner (Of Counsel);2026-04 bis 08.04.;4,00;980;3920,00;
Yuki Yamamoto-Brennecke;Counsel (Büro Kyoto);2026-01;142,00;720;102240,00;
Yuki Yamamoto-Brennecke;Counsel (Büro Kyoto);2026-02;158,50;720;114120,00;
Yuki Yamamoto-Brennecke;Counsel (Büro Kyoto);2026-03;221,25;720;159300,00;Tokyo District Court und Nippon Pension Anstalt KK
Yuki Yamamoto-Brennecke;Counsel (Büro Kyoto);2026-04 bis 08.04.;58,00;720;41760,00;
Friederike Albrecht-Niermann;Counsel (IAS 19 / Bilanzrecht);2026-01;151,50;720;109080,00;
Friederike Albrecht-Niermann;Counsel (IAS 19 / Bilanzrecht);2026-02;166,00;720;119520,00;
Friederike Albrecht-Niermann;Counsel (IAS 19 / Bilanzrecht);2026-03;204,50;720;147240,00;
Friederike Albrecht-Niermann;Counsel (IAS 19 / Bilanzrecht);2026-04 bis 08.04.;38,50;720;27720,00;
Dr. Roman Engelhart-Volz;Counsel Tax;2026-01;88,00;720;63360,00;
Dr. Roman Engelhart-Volz;Counsel Tax;2026-02;97,50;720;70200,00;
Dr. Roman Engelhart-Volz;Counsel Tax;2026-03;112,00;720;80640,00;
Dr. Roman Engelhart-Volz;Counsel Tax;2026-04 bis 08.04.;46,25;720;33300,00;
Maximilian Pfaffenhausen-Quasthoff;Senior Associate;2026-01;176,00;520;91520,00;
Maximilian Pfaffenhausen-Quasthoff;Senior Associate;2026-02;168,50;520;87620,00;
Maximilian Pfaffenhausen-Quasthoff;Senior Associate;2026-03;219,75;520;114270,00;
Maximilian Pfaffenhausen-Quasthoff;Senior Associate;2026-04 bis 08.04.;44,00;520;22880,00;
Annika Beerbohm-Sittler;Senior Associate;2026-01;228,50;520;118820,00;
Annika Beerbohm-Sittler;Senior Associate;2026-02;241,00;520;125320,00;
Annika Beerbohm-Sittler;Senior Associate;2026-03;264,25;520;137410,00;
Annika Beerbohm-Sittler;Senior Associate;2026-04 bis 08.04.;79,50;520;41340,00;
