Buchungstag;Einheit;Kaltmiete_EUR;Vorauszahlung_Betrieb_EUR;Vorauszahlung_Heizung_EUR;Buchungstext
2025-01-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Januar 2025
2025-02-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Februar 2025
2025-03-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk März 2025
2025-04-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk April 2025
2025-05-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Mai 2025
2025-06-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Juni 2025
2025-07-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Juli 2025
2025-08-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk August 2025
2025-09-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk September 2025
2025-10-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Oktober 2025
2025-11-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk November 2025
2025-12-03;04;1450;180;120;Dauerauftrag Fabian und Miriam Öztürk Dezember 2025
