Buchungstag;Einheit;Kaltmiete_EUR;Vorauszahlung_Betrieb_EUR;Vorauszahlung_Heizung_EUR;Buchungstext
2025-01-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Januar 2025
2025-02-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Februar 2025
2025-03-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel März 2025
2025-04-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel April 2025
2025-05-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Mai 2025
2025-06-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Juni 2025
2025-07-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Juli 2025
2025-08-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel August 2025
2025-09-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel September 2025
2025-10-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Oktober 2025
2025-11-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel November 2025
2025-12-03;07;1620;190;110;Dauerauftrag Yasin und Nora Seidel Dezember 2025
