Treffer_ID;Datum;Fundort_Ordner;Von;An;Betreff;Kategorie
M-001;23.07.2018;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Angebot Lizenzpaket;von_ihm
M-002;02.09.2018;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Besuchsbericht KW 35;von_ihm
M-045;27.09.2018;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Freigabe Rabattstufe;an_ihn
M-003;13.10.2018;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Terminbestaetigung Kundentermin;von_ihm
M-046;21.11.2018;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Einladung Vertriebstagung;an_ihn
M-004;23.11.2018;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Weiterleitung Kundenanfrage;von_ihm
M-005;03.01.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Urlaubsuebergabe Gebiet Nordbaden;von_ihm
M-047;15.01.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Rueckmeldung zum Besuchsbericht;an_ihn
M-006;13.02.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Rueckfrage Provisionsabrechnung;von_ihm
M-048;11.03.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Zielvereinbarung Entwurf;an_ihn
M-007;26.03.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Update Vertriebspipeline;von_ihm
M-049;05.05.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Neue Preisliste;an_ihn
M-008;06.05.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Protokoll Jahresgespraech;von_ihm
M-009;16.06.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Angebot Lizenzpaket;von_ihm
M-050;29.06.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;CRM-Pflege Erinnerung;an_ihn
M-010;27.07.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Besuchsbericht KW 30;von_ihm
M-051;23.08.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Spesenabrechnung Rueckfrage;an_ihn
M-011;06.09.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Terminbestaetigung Kundentermin;von_ihm
M-012;17.10.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Weiterleitung Kundenanfrage;von_ihm
M-052;17.10.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Kundenbeschwerde Weiterleitung;an_ihn
M-013;27.11.2019;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Urlaubsuebergabe Gebiet Nordbaden;von_ihm
M-053;11.12.2019;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Freigabe Rabattstufe;an_ihn
M-014;07.01.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Rueckfrage Provisionsabrechnung;von_ihm
M-054;04.02.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Einladung Vertriebstagung;an_ihn
M-015;17.02.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Update Vertriebspipeline;von_ihm
M-016;29.03.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Protokoll Jahresgespraech;von_ihm
M-055;30.03.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Rueckmeldung zum Besuchsbericht;an_ihn
M-017;09.05.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Angebot Lizenzpaket;von_ihm
M-056;24.05.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Zielvereinbarung Entwurf;an_ihn
M-018;19.06.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Besuchsbericht KW 25;von_ihm
M-057;18.07.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Neue Preisliste;an_ihn
M-019;30.07.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Terminbestaetigung Kundentermin;von_ihm
M-020;09.09.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Weiterleitung Kundenanfrage;von_ihm
M-058;11.09.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;CRM-Pflege Erinnerung;an_ihn
M-021;20.10.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Urlaubsuebergabe Gebiet Nordbaden;von_ihm
M-059;05.11.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Spesenabrechnung Rueckfrage;an_ihn
M-022;30.11.2020;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Rueckfrage Provisionsabrechnung;von_ihm
M-060;30.12.2020;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Kundenbeschwerde Weiterleitung;an_ihn
M-023;10.01.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Update Vertriebspipeline;von_ihm
M-024;20.02.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Protokoll Jahresgespraech;von_ihm
M-061;23.02.2021;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Freigabe Rabattstufe;an_ihn
M-025;02.04.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Angebot Lizenzpaket;von_ihm
M-062;19.04.2021;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Einladung Vertriebstagung;an_ihn
M-026;13.05.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Besuchsbericht KW 19;von_ihm
M-063;13.06.2021;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Rueckmeldung zum Besuchsbericht;an_ihn
M-027;23.06.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Terminbestaetigung Kundentermin;von_ihm
M-028;03.08.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Weiterleitung Kundenanfrage;von_ihm
