Kalenderwoche;Datum;Schicht;Einsatzbereich;Beschaeftigter
KW11;09.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Demirel, Erkan
KW11;09.03.2026;Frueh 06:00-14:00;Warenausgang;Brandhorst, Ute
KW11;09.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Okonkwo, Grace
KW11;09.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Siebrecht, Marco
KW11;09.03.2026;Frueh 06:00-14:00;Warenausgang;Dabrowski, Jan
KW11;09.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Hallmann, Rita
KW11;09.03.2026;Spaet 14:00-22:00;Packbereich Zone A;Ferreira, Tiago
KW11;09.03.2026;Spaet 14:00-22:00;Warenausgang;Ostermann, Kai
KW11;09.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Szymanska, Alina
KW11;10.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Yesilkaya, Emre
KW11;10.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Petrenko, Iryna
KW11;10.03.2026;Frueh 06:00-14:00;Warenausgang;Hallmann, Rita
KW11;10.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Ferreira, Tiago
KW11;10.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Ostermann, Kai
KW11;10.03.2026;Spaet 14:00-22:00;Warenausgang;Nguyen, Thu
KW11;10.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Ricken, Sandra
KW11;10.03.2026;Spaet 14:00-22:00;Packbereich Zone A;Terhorst, Bernd
KW11;10.03.2026;Spaet 14:00-22:00;Warenausgang;Kowalczyk, Piotr
KW11;11.03.2026;Frueh 06:00-14:00;Warenausgang;Siebrecht, Marco
KW11;11.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Dabrowski, Jan
KW11;11.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Nguyen, Thu
KW11;11.03.2026;Frueh 06:00-14:00;Warenausgang;Ricken, Sandra
KW11;11.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Terhorst, Bernd
KW11;11.03.2026;Spaet 14:00-22:00;Packbereich Zone A;Szymanska, Alina
KW11;11.03.2026;Spaet 14:00-22:00;Warenausgang;Demirel, Erkan
KW11;11.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Brandhorst, Ute
KW11;11.03.2026;Spaet 14:00-22:00;Packbereich Zone A;Okonkwo, Grace
KW11;12.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Ferreira, Tiago
KW11;12.03.2026;Frueh 06:00-14:00;Warenausgang;Ostermann, Kai
KW11;12.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Szymanska, Alina
KW11;12.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Demirel, Erkan
KW11;12.03.2026;Frueh 06:00-14:00;Warenausgang;Brandhorst, Ute
KW11;12.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Kowalczyk, Piotr
KW11;12.03.2026;Spaet 14:00-22:00;Packbereich Zone A;Yesilkaya, Emre
KW11;12.03.2026;Spaet 14:00-22:00;Warenausgang;Petrenko, Iryna
KW11;12.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Hallmann, Rita
KW11;13.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Ricken, Sandra
KW11;13.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Terhorst, Bernd
KW11;13.03.2026;Frueh 06:00-14:00;Warenausgang;Kowalczyk, Piotr
KW11;13.03.2026;Frueh 06:00-14:00;Packbereich Zone B;Yesilkaya, Emre
KW11;13.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Petrenko, Iryna
KW11;13.03.2026;Spaet 14:00-22:00;Warenausgang;Okonkwo, Grace
KW11;13.03.2026;Spaet 14:00-22:00;Packbereich Zone B;Siebrecht, Marco
KW11;13.03.2026;Spaet 14:00-22:00;Packbereich Zone A;Dabrowski, Jan
KW11;13.03.2026;Spaet 14:00-22:00;Warenausgang;Nguyen, Thu
KW12;16.03.2026;Frueh 06:00-14:00;Packbereich Zone A;Ostermann, Kai
