buchungsdatum,betrag_eur,verwendungszweck_kontoauszug,zielkonto,beleg
2020-06-15,8000.00,Unterstützung Umbau Bad,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2020/06 Blatt 2
2020-12-21,12000.00,Weihnachten für Silke,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2020/12 Blatt 3
2021-03-10,15000.00,Zuwendung,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2021/03 Blatt 1
2021-09-02,10000.00,Küche Neubau Silke,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2021/09 Blatt 2
2021-12-20,12000.00,Weihnachten für Silke,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2021/12 Blatt 2
2022-02-14,20000.00,Autokauf Silke,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2022/02 Blatt 1
2022-06-30,15000.00,Photovoltaik Silke,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2022/06 Blatt 3
2022-12-19,12000.00,Weihnachten für Silke,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2022/12 Blatt 2
2023-03-28,10000.00,Zuwendung,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2023/03 Blatt 1
2023-06-15,8000.00,Unterstützung,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2023/06 Blatt 2
2023-09-29,18000.00,Zuwendung,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2023/09 Blatt 1
2023-11-30,12000.00,Zuwendung,DE44 2802 0050 4711 0815 22,Kontoauszug LzO 2023/11 Blatt 2
