Buchungstag;Konto;Betrag_EUR;Empfaenger;Verwendungszweck
08.01.2022;Geschaeftskonto LzO DE44280501000091443702;-6000.00;Lena Hollmann;Ausbildungsunterstuetzung WS 21/22
15.07.2022;Geschaeftskonto LzO DE44280501000091443702;-6000.00;Lena Hollmann;Ausbildungsunterstuetzung SS 22
12.01.2023;Geschaeftskonto LzO DE44280501000091443702;-6000.00;Lena Hollmann;Ausbildungsunterstuetzung WS 22/23
14.07.2023;Geschaeftskonto LzO DE44280501000091443702;-6000.00;Lena Hollmann;Ausbildungsunterstuetzung SS 23
15.01.2024;Geschaeftskonto LzO DE44280501000091443702;-6000.00;Lena Hollmann;Ausbildungsunterstuetzung WS 23/24
15.07.2024;Geschaeftskonto LzO DE44280501000091443702;-6000.00;Lena Hollmann;Ausbildungsunterstuetzung SS 24
11.03.2024;Geschaeftskonto LzO DE44280501000091443702;-112.35;Karin Hollmann;Auslagenerstattung Bueromaterial Maerz
07.10.2024;Geschaeftskonto LzO DE44280501000091443702;-49.90;Karin Hollmann;Auslagenerstattung Ordner u. Toner
02.05.2025;Geschaeftskonto LzO DE44280501000091443702;-800.00;Karin Hollmann;Geburtstagsgeschenk 60. Karin
20.06.2025;Geschaeftskonto LzO DE44280501000091443702;-19800.00;Dachdeckerei Meyerdiercks GmbH;RG 2025-0341 Tietjen
