Name;Personalnummer;Funktion;Schulungsmodul;Datum;Dauer_Stunden;Ergebnis
Brandhorst, Silke;PN 50-4471;Sachbearbeiterin Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (92 Prozent)
Ottweiler, Bernd;PN 50-2087;Sachgebietsleiter Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (88 Prozent)
Czerwinski, Hanna;PN 50-5133;Sachbearbeiterin Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (95 Prozent)
Feldkamp, Norbert;PN 50-3902;Sachbearbeiter Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (81 Prozent)
Grigoleit, Sabine;PN 50-4610;Sachbearbeiterin Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (90 Prozent)
Nowakowski, Petra;PN 50-5288;Sachbearbeiterin Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;nicht teilgenommen (krank)
Uzuner, Erdal;PN 50-4956;Sachbearbeiter Leistungsgewaehrung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (86 Prozent)
Wiedenbruegge, Claas;PN 14-1109;Rechnungspruefungsamt (Gast);Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (97 Prozent)
Oezdemir, Murat;PN 10-3345;IT-Koordination Fachverfahren;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;bestanden (99 Prozent)
Krahnenfeld, Dorothea;PN 50-1001;Amtsleitung;Modul 1 - Systembedienung AntragsLotse Pro;15.12.2025;3.5;teilgenommen (ohne Test)
Brandhorst, Silke;PN 50-4471;Sachbearbeiterin Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (92 Prozent)
Ottweiler, Bernd;PN 50-2087;Sachgebietsleiter Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (88 Prozent)
Czerwinski, Hanna;PN 50-5133;Sachbearbeiterin Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (95 Prozent)
Feldkamp, Norbert;PN 50-3902;Sachbearbeiter Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (81 Prozent)
Grigoleit, Sabine;PN 50-4610;Sachbearbeiterin Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (90 Prozent)
Nowakowski, Petra;PN 50-5288;Sachbearbeiterin Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;nicht teilgenommen (krank)
Uzuner, Erdal;PN 50-4956;Sachbearbeiter Leistungsgewaehrung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (86 Prozent)
Wiedenbruegge, Claas;PN 14-1109;Rechnungspruefungsamt (Gast);Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (97 Prozent)
Oezdemir, Murat;PN 10-3345;IT-Koordination Fachverfahren;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;bestanden (99 Prozent)
Krahnenfeld, Dorothea;PN 50-1001;Amtsleitung;Modul 2 - Menschliche Aufsicht und Abweichen von Systemvorschlaegen;16.12.2025;2.0;teilgenommen (ohne Test)
