position,art,betrag_eur,stand_bemerkung
Nettogehalt Samir Tunc (Speditionskaufmann),monatliche Einnahme,2610.00,Stand Juni 2026
Nettogehalt Leyla Tunc (Lehrerin angestellt) bis 14.06.2026,monatliche Einnahme,2895.00,Entgeltfortzahlung endet 14.06.2026
Krankengeld Leyla Tunc ab 15.06.2026,monatliche Einnahme,2178.00,Bescheid der RheinMain BKK vom 22.06.2026
Kindergeld (zwei Kinder),monatliche Einnahme,510.00,
Warmmiete Wohnung Mainz-Gonsenheim,monatliche Ausgabe,1385.00,Mieterhöhung zum 01.09.2026 angekündigt
Ratenkredit PKW (Restschuld 9840 EUR),monatliche Ausgabe,265.00,läuft bis 03/2029
Tagesgeldkonto,Vermögen,17250.00,Stand 30.06.2026
Bausparvertrag Samir Tunc,Vermögen,11400.00,Guthaben; kündbar mit 3 Monaten Frist
Lebensversicherung Leyla Tunc,Vermögen,23600.00,Rückkaufswert laut Mitteilung vom 05.06.2026
PKW Kombi Baujahr 2021,Vermögen,14500.00,Schätzwert; wird für Klinikfahrten benötigt
Zuzahlungen und Fahrtkosten seit Mai 2026,einmalige Ausgabe,612.40,belegt durch Quittungsordner
