Buchungstag;Wertstellung;Umsatzart;Empfänger;Verwendungszweck;Betrag_EUR
04.01.2021;04.01.2021;Dauerauftrag;Hildegunde Pferdedrescher-Riesenstein;Miete Eckendorfer Str. 188 App 4 Januar;-648,97
03.02.2021;03.02.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Feb 2021 plus Nachzahlung Rückstand;-800,00
03.03.2021;03.03.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete März 2021 plus Nachzahlung;-800,00
06.04.2021;06.04.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete April 2021 plus Nachzahlung;-800,00
04.05.2021;04.05.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Mai 2021 plus Nachzahlung;-800,00
03.06.2021;03.06.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Juni 2021 plus Nachzahlung;-800,00
05.07.2021;05.07.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Juli 2021 plus Nachzahlung;-800,00
03.08.2021;03.08.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete August 2021 plus Nachzahlung;-800,00
03.09.2021;03.09.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete September 2021 plus Nachzahlung;-800,00
05.10.2021;05.10.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Oktober 2021 plus Nachzahlung;-800,00
03.11.2021;03.11.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete November 2021 plus Nachzahlung;-800,00
06.12.2021;06.12.2021;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Dezember 2021;-700,00
05.01.2022;05.01.2022;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Januar 2022;-700,00
09.02.2022;09.02.2022;Überweisung;Hildegunde Pferdedrescher-Riesenstein;Miete Februar Teilbetrag Rest folgt;-350,00
