anleger_nr,name,wohnort,vertragsdatum,anlagebetrag_eur,rendite_pa_prozent,monatliche_rendite_eur,anzahl_renditezahlungen,rendite_ausgezahlt_gesamt_eur,kapitalrueckzahlung_eur,kapitalrueckzahlung_datum,vermittler,status
1,Dr. Heinz Kronawitter,Erlangen,2023-07-24,150000.00,8.0,1000.00,30,30000.00,0.00,,Meckel,Kuendigung zum 31.12.2025 - Rueckzahlung trotz Zusage offen
2,Gerlinde Aumueller,Schwabach,2024-06-07,70000.00,8.0,466.67,19,8866.73,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
3,Werner Pfleiderer,Nuernberg,2025-10-10,25000.00,8.0,166.67,3,500.01,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
4,Annette Krippner,Fuerth,2025-05-19,65000.00,8.0,433.33,8,3466.64,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
5,Siegfried Wanka,Lauf an der Pegnitz,2025-03-15,65000.00,8.0,433.33,10,4333.30,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
6,Marianne Deuschle,Nuernberg,2025-07-17,120000.00,8.0,800.00,6,4800.00,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
7,Holger Trittner,Roth,2023-05-03,80000.00,8.0,533.33,12,6399.96,80000.00,2024-06-14,Meckel,Vertrag gekuendigt - Kapital zurueckgezahlt am 2024-06-14
8,Brigitte Semmelroth,Erlangen,2025-07-05,50000.00,8.0,333.33,6,1999.98,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
9,Klaus-Peter Vogtherr,Nuernberg,2024-06-03,25000.00,8.0,166.67,19,3166.73,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
10,Renate Oblinger,Zirndorf,2024-07-12,20000.00,8.0,133.33,18,2399.94,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
11,Friedrich Gansloser,Hersbruck,2024-09-27,35000.00,8.0,233.33,16,3733.28,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
12,Ingrid Battenberg,Nuernberg,2025-04-14,175000.00,8.0,1166.67,9,10500.03,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
13,Ernst Rueckel,Fuerth,2024-02-12,15000.00,8.0,100.00,23,2300.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
14,Helga Zwanziger,Ansbach,2025-06-15,50000.00,8.0,333.33,7,2333.31,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
15,Dieter Malzahn,Nuernberg,2023-10-10,50000.00,8.0,333.33,16,5333.28,50000.00,2025-03-10,Wiedenbrueck,Vertrag gekuendigt - Kapital zurueckgezahlt am 2025-03-10
16,Ursula Frobenius,Erlangen,2024-04-19,40000.00,8.0,266.67,21,5600.07,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
17,Gerhard Stellwag,Schwaig,2024-12-27,25000.00,8.0,166.67,13,2166.71,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
18,Christa Nadler,Nuernberg,2024-11-12,100000.00,8.0,666.67,14,9333.38,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
19,Rudolf Kiesewetter,Feucht,2024-07-07,55000.00,8.0,366.67,18,6600.06,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
20,Hannelore Dietlein,Nuernberg,2025-11-21,175000.00,8.0,1166.67,2,2333.34,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
21,Manfred Obermaier,Stein,2026-01-03,55000.00,8.0,366.67,0,0.00,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
22,Elfriede Wackersreuther,Fuerth,2023-11-07,15000.00,8.0,100.00,26,2600.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
23,Horst Blankertz,Nuernberg,2024-02-07,120000.00,8.0,800.00,20,16000.00,120000.00,2025-11-20,Plaschke,Vertrag gekuendigt - Kapital zurueckgezahlt am 2025-11-20
24,Rosemarie Pfretzschner,Erlangen,2024-08-15,80000.00,8.0,533.33,17,9066.61,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
25,Guenther Habersack,Altdorf,2023-06-12,100000.00,8.0,666.67,31,20666.77,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
26,Edeltraud Simmerlein,Nuernberg,2025-01-27,60000.00,8.0,400.00,12,4800.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
27,Wolfgang Neundoerfer,Schwabach,2026-01-27,25000.00,8.0,166.67,0,0.00,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
28,Lieselotte Brandmeier,Nuernberg,2023-11-19,90000.00,8.0,600.00,26,15600.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
29,Karlheinz Ottersbach,Fuerth,2024-01-07,30000.00,8.0,200.00,24,4800.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
30,Waltraud Ziegelmeier,Herzogenaurach,2023-12-03,10000.00,8.0,66.67,25,1666.75,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
31,Norbert Feuchtwanger,Nuernberg,2025-12-27,75000.00,8.0,500.00,1,500.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
32,Irmgard Schwanhaeuser,Erlangen,2026-02-27,100000.00,8.0,666.67,0,0.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
33,Reinhold Kuffner,Nuernberg,2024-10-03,60000.00,8.0,400.00,15,6000.00,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
34,Gertraud Eyselein,Fuerth,2025-08-17,100000.00,8.0,666.67,5,3333.35,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
35,Ludwig Pruckner,Roethenbach,2023-05-17,80000.00,8.0,533.33,32,17066.56,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
36,Hildegard Wassermann,Nuernberg,2025-03-27,35000.00,8.0,233.33,10,2333.30,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
37,Eberhard Trummer,Cadolzburg,2026-02-08,30000.00,8.0,200.00,0,0.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
38,Margarete Hollfelder,Nuernberg,2025-05-10,25000.00,8.0,166.67,8,1333.36,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
39,Joachim Sperber,Erlangen,2024-04-08,50000.00,8.0,333.33,21,6999.93,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
40,Anneliese Grundherr,Nuernberg,2023-03-21,15000.00,8.0,100.00,34,3400.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
41,Detlef Winhart,Fuerth,2023-02-03,175000.00,8.0,1166.67,35,40833.45,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
42,Erika Poehlmann,Schwabach,2025-09-08,125000.00,8.0,833.33,4,3333.32,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
43,Roland Zirngibl,Nuernberg,2024-10-08,100000.00,8.0,666.67,15,10000.05,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
44,Ilse Kettenbach,Lauf an der Pegnitz,2025-10-21,60000.00,8.0,400.00,3,1200.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
45,Hartmut Deininger,Nuernberg,2024-08-08,70000.00,8.0,466.67,17,7933.39,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
46,Gudrun Leibinger,Erlangen,2024-03-19,30000.00,8.0,200.00,22,4400.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
