Datum;Uhrzeit;Kanal;Absender_Profil;Art;Inhalt_kurz;nach_Kontaktverbot
18.04.2026;22:14;Instagram-DM;clara_vermisst_dich;Nachricht;bitte melde dich;nein
18.04.2026;23:40;Instagram-DM;wir_gehoeren_zusammen;Nachricht;ich weiss wo du bist;nein
20.04.2026;07:12;WhatsApp;Nummer unbekannt;Nachricht;guten morgen schatz;nein
21.04.2026;18:03;GPS-Ortung;Tracker Fahrzeug;Ortung;Standort Arbeitsplatz;nein
23.04.2026;12:30;SMS;Nummer unbekannt;Nachricht;warum ignorierst du mich;nein
24.04.2026;19:45;Anruf;Nummer unbekannt;Anruf;drei entgangene Anrufe;nein
26.04.2026;08:05;GPS-Ortung;Tracker Fahrzeug;Ortung;Standort Wohnung Schwester;nein
27.04.2026;21:22;Instagram-DM;nur_wir_zwei;Nachricht;schoenes kleid heute;nein
29.04.2026;13:10;Vor-Ort;Tobias Mertens;Erscheinen;vor der Arbeitsstelle gesehen;nein
30.04.2026;23:58;WhatsApp;Nummer unbekannt;Nachricht;du kommst nicht weg;nein
02.05.2026;06:40;GPS-Ortung;Tracker Fahrzeug;Ortung;Standort Wohnung Schwester;nein
03.05.2026;17:20;SMS;Nummer unbekannt;Nachricht;ich sehe dich;nein
04.05.2026;20:15;Anruf;Nummer unbekannt;Anruf;fuenf entgangene Anrufe;nein
05.05.2026;09:00;Instagram-DM;clara_vermisst_dich;Nachricht;dein neuer Freund gefaellt mir nicht;nein
06.05.2026;18:50;GPS-Ortung;Tracker Fahrzeug;Ortung;Standort Fitnessstudio;nein
07.05.2026;10:30;Vor-Ort;Tobias Mertens;Erscheinen;vor der Arbeitsstelle;nein
08.05.2026;22:05;WhatsApp;Nummer unbekannt;Nachricht;warum hast du das Geraet entfernt;nein
10.05.2026;07:33;SMS;Nummer unbekannt;Nachricht;du gehoerst mir;nein
12.05.2026;19:10;Instagram-DM;wir_gehoeren_zusammen;Nachricht;Foto aus unserem Urlaub;nein
14.05.2026;23:44;Anruf;Nummer unbekannt;Anruf;zwei entgangene Anrufe;nein
16.05.2026;12:00;WhatsApp;Nummer unbekannt;Nachricht;ich warte;nein
19.05.2026;21:30;Instagram-DM;nur_wir_zwei;Nachricht;neues Profil weil du mich blockierst;nein
22.05.2026;08:20;SMS;Nummer unbekannt;Nachricht;du entkommst nicht;nein
25.05.2026;18:15;Vor-Ort;Tobias Mertens;Erscheinen;vor der Wohnung der Schwester;nein
27.05.2026;22:50;WhatsApp;Nummer unbekannt;Nachricht;bald sind wir wieder zusammen;nein
30.05.2026;07:05;Instagram-DM;clara_vermisst_dich;Nachricht;ich gebe nicht auf;nein
02.06.2026;19:40;SMS;Nummer unbekannt;Nachricht;letzte Warnung an dich;nein
05.06.2026;21:12;WhatsApp;Nummer unbekannt;Nachricht;kein Gericht haelt mich ab;ja
07.06.2026;08:30;Instagram-DM;phoenix_2026;Nachricht;neues Profil, du kannst mich nicht blocken;ja
09.06.2026;18:00;Vor-Ort;Tobias Mertens;Erscheinen;vor der Arbeitsstelle trotz Verbot;ja
12.06.2026;23:20;Anruf;Nummer unbekannt;Anruf;vier entgangene Anrufe;ja
15.06.2026;07:45;SMS;Nummer unbekannt;Nachricht;ich bin immer da;ja
20.06.2026;22:10;Instagram-DM;phoenix_2026;Nachricht;du gehoerst mir;ja
28.06.2026;19:55;WhatsApp;Nummer unbekannt;Nachricht;bis bald;ja
