Datum;Uhrzeit;Anschluss_A;Anschluss_B;Kurzinhalt;Zuordnung
09.10.2025;18:22;0171 5528834 (Petrasch);0157 3391207 (unbekannt maennlich);BtM-relevant: Uebergabe 'zwei Pakete' Parkplatz Cottaweg;320 Js 8842/25
13.10.2025;11:42;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Milad Karimzadeh; Hinweis 'wie immer, bring alles mit'";Zufallsfund
27.10.2025;10:17;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Oksana Bilenko; Hinweis 'wie immer, bring alles mit'";Zufallsfund
03.11.2025;20:05;0171 5528834 (Petrasch);0163 7742519 (Steinbach);BtM-relevant: Streckung, 'Qualitaet mies';320 Js 8842/25
10.11.2025;09:55;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Erdal Kaplan; Hinweis 'wie immer, bring alles mit'";Zufallsfund
24.11.2025;12:31;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Vitali Muraschko; Hinweis 'wie immer, bring alles mit'";Zufallsfund
08.12.2025;11:08;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Dragan Ilic; Hinweis 'wie immer, bring alles mit'";Zufallsfund
15.12.2025;10:44;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Samir Haddad; Hinweis 'wie immer, bring alles mit'";Zufallsfund
19.12.2025;17:48;0171 5528834 (Petrasch);0157 3391207 (unbekannt maennlich);BtM-relevant: 'nach Weihnachten Nachschub';320 Js 8842/25
05.01.2026;09:37;0171 5528834 (Petrasch);0341 123-4471 (Dienstapparat Kabusch, Fahrerlaubnisbehoerde);"Terminabsprache 'Vorsprache' fuer Bogdan Pavlenko; Hinweis 'wie immer, bring alles mit'";Zufallsfund
