Datum;Uhrzeit;Termin;Sachbearbeiter;Ort
15.10.2025;09:30;Vorsprache Milad Karimzadeh - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
16.10.2025;14:00;Teamberatung Fahrerlaubnisbehoerde;alle;Zimmer 201
29.10.2025;10:30;Vorsprache Oksana Bilenko - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
05.11.2025;09:30;Vorsprache Heike Trommler - Ersatzfuehrerschein;Kabusch;Zimmer 214
12.11.2025;09:00;Vorsprache Erdal Kaplan - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
20.11.2025;11:00;Vorsprache Josef Brendel - Verlaengerung C1E;Kabusch;Zimmer 214
26.11.2025;10:30;Vorsprache Vitali Muraschko - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
10.12.2025;10:30;Vorsprache Dragan Ilic - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
11.12.2025;13:30;Personalgespraech Amtsleitung;Kabusch;Zimmer 105
17.12.2025;09:00;Vorsprache Samir Haddad - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
07.01.2026;09:00;Vorsprache Bogdan Pavlenko - Umschreibung auslaendische Fahrerlaubnis;Kabusch;Zimmer 214
14.01.2026;09:30;Vorsprache Sina Voigtlaender - Umtausch Papierfuehrerschein;Kabusch;Zimmer 214
