Buchungstag;Buchungstext;Betrag_EUR;Saldo_EUR
30.09.2025;Alter Saldo;;2417.32
01.10.2025;Gehalt Stadt Leipzig, Besoldung/Entgelt 09-2025;3184.20;5601.52
02.10.2025;Miete Wohnung Connewitz, Dauerauftrag;-940.00;4661.52
06.10.2025;REWE Leipzig-Connewitz, Kartenzahlung;-87.43;4574.09
17.10.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;5074.09
26.10.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;140.00;5214.09
31.10.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;5714.09
01.11.2025;Gehalt Stadt Leipzig, Besoldung/Entgelt 10-2025;3184.20;8898.29
03.11.2025;Miete Wohnung Connewitz, Dauerauftrag;-940.00;7958.29
14.11.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;8458.29
28.11.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;8958.29
01.12.2025;Gehalt Stadt Leipzig, Besoldung/Entgelt 11-2025;3184.20;12142.49
01.12.2025;Miete Wohnung Connewitz, Dauerauftrag;-940.00;11202.49
12.12.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;11702.49
19.12.2025;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;12202.49
22.12.2025;Kaufhof Leipzig, Kartenzahlung;-214.90;11987.59
02.01.2026;Gehalt Stadt Leipzig, Besoldung/Entgelt 12-2025;3184.20;15171.79
02.01.2026;Miete Wohnung Connewitz, Dauerauftrag;-940.00;14231.79
09.01.2026;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;500.00;14731.79
18.01.2026;SB-Einzahlung Geldautomat Sparkasse Leipzig, Filiale Connewitz;95.00;14826.79
