Auszahlungsmonat;Faelle_Anklage;Bruttoerloes_EUR;Plattformgebuehr_8_Prozent_EUR;Auszahlung_EUR;Empfaengerkonto
Juli 2024;Fall 1;9850.00;788.00;9062.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
August 2024;Fall 2;8200.00;656.00;7544.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
September 2024;Fall 3;15300.00;1224.00;14076.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Oktober 2024;Fall 4;12400.00;992.00;11408.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Dezember 2024;Fall 5 und 6;31350.00;2508.00;28842.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Februar 2025;Fall 7;21900.00;1752.00;20148.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Maerz 2025;Fall 8;7450.00;596.00;6854.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
April 2025;Fall 9;17250.00;1380.00;15870.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Mai 2025;Fall 10;13980.00;1118.40;12861.60;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Juni 2025;Fall 11;24300.00;1944.00;22356.00;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Juli 2025;Fall 12;20670.00;1653.60;19016.40;DE21 3305 0000 0044 7719 02 (M. Sowinski, Stadtsparkasse Wuppertal)
Summe;;182650.00;14612.00;168038.00;
