Buchungstag;Auftraggeber_Empfänger;Verwendungszweck;Betrag_EUR;Saldo_EUR
02.02.2026;Sparkasse Rosenheim-Bad Aibling;Darlehen 6200451889 Rate Zins und Tilgung;-1480.00;2214.37
02.02.2026;Tobias Aiblinger;Dauerauftrag Hauskonto;1200.00;3414.37
03.02.2026;Mira Aiblinger;Dauerauftrag Hauskonto;600.00;4014.37
16.02.2026;Stadtwerke Rosenheim;Abschlag Strom Gas Innstraße 44;-289.00;3725.37
02.03.2026;Sparkasse Rosenheim-Bad Aibling;Darlehen 6200451889 Rate Zins und Tilgung;-1480.00;2245.37
02.03.2026;Tobias Aiblinger;Dauerauftrag Hauskonto;1200.00;3445.37
03.03.2026;Mira Aiblinger;Dauerauftrag Hauskonto;600.00;4045.37
16.03.2026;Stadtwerke Rosenheim;Abschlag Strom Gas Innstraße 44;-289.00;3756.37
24.03.2026;Gebäudeversicherung Bayerische Hausbesitz;Jahresbeitrag Wohngebäude Innstraße 44;-684.20;3072.17
01.04.2026;Sparkasse Rosenheim-Bad Aibling;Darlehen 6200451889 Rate Zins und Tilgung;-1480.00;1592.17
02.04.2026;Tobias Aiblinger;Dauerauftrag Hauskonto;1200.00;2792.17
16.04.2026;Stadtwerke Rosenheim;Abschlag Strom Gas Innstraße 44;-289.00;2503.17
21.04.2026;Kartenzahlung Baumarkt Hagebau Rosenheim;Gartenpumpe und Kleinmaterial Karte Tobias A.;-146.90;2356.27
04.05.2026;Sparkasse Rosenheim-Bad Aibling;Darlehen 6200451889 Rate Zins und Tilgung;-1480.00;876.27
05.05.2026;Tobias Aiblinger;Dauerauftrag Hauskonto geändert;900.00;1776.27
06.05.2026;Mira Aiblinger;Dauerauftrag Hauskonto;600.00;2376.27
18.05.2026;Stadtwerke Rosenheim;Abschlag Strom Gas Innstraße 44;-289.00;2087.27
28.05.2026;Kaminkehrer Obermaier;Feuerstättenschau und Kehrung;-118.40;1968.87
02.06.2026;Sparkasse Rosenheim-Bad Aibling;Darlehen 6200451889 Rate Zins und Tilgung;-1480.00;488.87
03.06.2026;Tobias Aiblinger;Dauerauftrag Hauskonto;900.00;1388.87
04.06.2026;Mira Aiblinger;Dauerauftrag Hauskonto;600.00;1988.87
16.06.2026;Stadtwerke Rosenheim;Abschlag Strom Gas Innstraße 44;-289.00;1699.87
