Buchungstag;Valuta;Referenz;Auftraggeber_Empfänger;Buchungstext;Betrag_EUR;Saldo_EUR;Belegdatei
2025-03-31;2025-03-31;VORTRAG;Havelbogen Bank eG;Saldovortrag 31.03.2025;0.00;6275.80;belege/Saldenbestaetigung_2025-04-01.pdf
2025-04-02;2025-04-02;202504-M-H;Mara Bergmann;Übertrag Privatkonto 4401;2300;8575.80;kontoauszuege/Haushalt_2025-04.pdf
2025-04-03;2025-04-03;202504-J-H;Jonas Bergmann;Übertrag Privatkonto 4402;950;9525.80;kontoauszuege/Haushalt_2025-04.pdf
2025-04-07;2025-04-07;202504-HD;Havelbogen Bank eG;Annuität HD-2014-731;-1380;8145.80;kontoauszuege/Haushalt_2025-04.pdf
2025-04-08;2025-04-08;202504-ENERGIE;Stadtwerke Potsdam;Strom und Wärme / Abschlag 7318;-310;7835.80;kontoauszuege/Haushalt_2025-04.pdf
2025-04-10;2025-04-10;202504-ESSEN;Schulcatering Havelküche;Jule / Oskar / Monatsabrechnung;-124.60;7711.20;kontoauszuege/Haushalt_2025-04.pdf
2025-04-14;2025-04-14;202504-SPORT;Turnverein Bornim;Beiträge Jule und Oskar;-48;7663.20;kontoauszuege/Haushalt_2025-04.pdf
2025-04-15;2025-04-15;202504-NETZ;Telekommunikation;Internet Kastanienweg 18;-44.90;7618.30;kontoauszuege/Haushalt_2025-04.pdf
2025-04-22;2025-04-22;202504-MARKT1;Markt am Bornstedter Feld;Kartenzahlung Haushalt;-198.43;7419.87;kontoauszuege/Haushalt_2025-04.pdf
2025-04-22;2025-04-22;202504-MARKT2;Lebensmittelmarkt Potsdam;Kartenzahlung Haushalt;-165.16;7254.71;kontoauszuege/Haushalt_2025-04.pdf
2025-04-28;2025-04-28;202504-DROGERIE;Drogerie am Park;Kartenzahlung / Haushalt und Schulbedarf;-76.35;7178.36;kontoauszuege/Haushalt_2025-04.pdf
2025-04-28;2025-04-28;202504-GEB;Waldsee Versicherung;Wohngebäude / Monatsrate;-39.80;7138.56;kontoauszuege/Haushalt_2025-04.pdf
2025-04-30;2025-04-30;202504-GEB-HAUSHALT;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;7131.66;kontoauszuege/Haushalt_2025-04.pdf
2025-05-02;2025-05-02;202505-M-H;Mara Bergmann;Übertrag Privatkonto 4401;2300;9431.66;kontoauszuege/Haushalt_2025-05.pdf
2025-05-05;2025-05-05;202505-HD;Havelbogen Bank eG;Annuität HD-2014-731;-1380;8051.66;kontoauszuege/Haushalt_2025-05.pdf
2025-05-05;2025-05-05;202505-J-H;Jonas Bergmann;Übertrag Privatkonto 4402;950;9001.66;kontoauszuege/Haushalt_2025-05.pdf
2025-05-08;2025-05-08;202505-ENERGIE;Stadtwerke Potsdam;Strom und Wärme / Abschlag 7318;-310;8691.66;kontoauszuege/Haushalt_2025-05.pdf
2025-05-12;2025-05-12;202505-ESSEN;Schulcatering Havelküche;Jule / Oskar / Monatsabrechnung;-124.60;8567.06;kontoauszuege/Haushalt_2025-05.pdf
2025-05-12;2025-05-12;202505-SPORT;Turnverein Bornim;Beiträge Jule und Oskar;-48;8519.06;kontoauszuege/Haushalt_2025-05.pdf
2025-05-15;2025-05-15;202505-NETZ;Telekommunikation;Internet Kastanienweg 18;-44.90;8474.16;kontoauszuege/Haushalt_2025-05.pdf
2025-05-19;2025-05-19;202505-MARKT1;Markt am Bornstedter Feld;Kartenzahlung Haushalt;-201.43;8272.73;kontoauszuege/Haushalt_2025-05.pdf
2025-05-22;2025-05-22;202505-MARKT2;Lebensmittelmarkt Potsdam;Kartenzahlung Haushalt;-169.16;8103.57;kontoauszuege/Haushalt_2025-05.pdf
2025-05-26;2025-05-26;202505-GEB;Waldsee Versicherung;Wohngebäude / Monatsrate;-39.80;8063.77;kontoauszuege/Haushalt_2025-05.pdf
2025-05-28;2025-05-28;202505-DROGERIE;Drogerie am Park;Kartenzahlung / Haushalt und Schulbedarf;-78.35;7985.42;kontoauszuege/Haushalt_2025-05.pdf
2025-06-02;2025-06-02;202505-GEB-HAUSHALT;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;7978.52;kontoauszuege/Haushalt_2025-06.pdf
2025-06-02;2025-06-02;202506-M-H;Mara Bergmann;Übertrag Privatkonto 4401;2300;10278.52;kontoauszuege/Haushalt_2025-06.pdf
2025-06-03;2025-06-03;202506-J-H;Jonas Bergmann;Übertrag Privatkonto 4402;950;11228.52;kontoauszuege/Haushalt_2025-06.pdf
2025-06-05;2025-06-05;202506-HD;Havelbogen Bank eG;Annuität HD-2014-731;-1380;9848.52;kontoauszuege/Haushalt_2025-06.pdf
2025-06-10;2025-06-10;202506-ENERGIE;Stadtwerke Potsdam;Strom und Wärme / Abschlag 7318;-310;9538.52;kontoauszuege/Haushalt_2025-06.pdf
2025-06-10;2025-06-10;202506-ESSEN;Schulcatering Havelküche;Jule / Oskar / Monatsabrechnung;-124.60;9413.92;kontoauszuege/Haushalt_2025-06.pdf
2025-06-10;2025-06-10;REISE-25182;Ferienhof Achterwasser;Restzahlung Urlaub 12.07.-19.07.2025 / Buchung 25182;-1260;8153.92;kontoauszuege/Haushalt_2025-06.pdf
2025-06-12;2025-06-12;202506-SPORT;Turnverein Bornim;Beiträge Jule und Oskar;-48;8105.92;kontoauszuege/Haushalt_2025-06.pdf
2025-06-16;2025-06-16;202506-NETZ;Telekommunikation;Internet Kastanienweg 18;-44.90;8061.02;kontoauszuege/Haushalt_2025-06.pdf
2025-06-18;2025-06-18;202506-MARKT1;Markt am Bornstedter Feld;Kartenzahlung Haushalt;-204.43;7856.59;kontoauszuege/Haushalt_2025-06.pdf
2025-06-23;2025-06-23;202506-MARKT2;Lebensmittelmarkt Potsdam;Kartenzahlung Haushalt;-173.16;7683.43;kontoauszuege/Haushalt_2025-06.pdf
2025-06-26;2025-06-26;202506-GEB;Waldsee Versicherung;Wohngebäude / Monatsrate;-39.80;7643.63;kontoauszuege/Haushalt_2025-06.pdf
2025-06-30;2025-06-30;202506-DROGERIE;Drogerie am Park;Kartenzahlung / Haushalt und Schulbedarf;-80.35;7563.28;kontoauszuege/Haushalt_2025-06.pdf
2025-06-30;2025-06-30;202506-GEB-HAUSHALT;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;7556.38;kontoauszuege/Haushalt_2025-06.pdf
2025-07-02;2025-07-02;202507-M-H;Mara Bergmann;Übertrag Privatkonto 4401;2300;9856.38;kontoauszuege/Haushalt_2025-07.pdf
2025-07-03;2025-07-03;202507-J-H;Jonas Bergmann;Übertrag Privatkonto 4402;950;10806.38;kontoauszuege/Haushalt_2025-07.pdf
2025-07-07;2025-07-07;202507-HD;Havelbogen Bank eG;Annuität HD-2014-731;-1380;9426.38;kontoauszuege/Haushalt_2025-07.pdf
2025-07-08;2025-07-08;202507-ENERGIE;Stadtwerke Potsdam;Strom und Wärme / Abschlag 7318;-310;9116.38;kontoauszuege/Haushalt_2025-07.pdf
2025-07-10;2025-07-10;202507-ESSEN;Schulcatering Havelküche;Jule / Oskar / Monatsabrechnung;-124.60;8991.78;kontoauszuege/Haushalt_2025-07.pdf
2025-07-14;2025-07-14;202507-SPORT;Turnverein Bornim;Beiträge Jule und Oskar;-48;8943.78;kontoauszuege/Haushalt_2025-07.pdf
2025-07-15;2025-07-15;202507-NETZ;Telekommunikation;Internet Kastanienweg 18;-44.90;8898.88;kontoauszuege/Haushalt_2025-07.pdf
2025-07-18;2025-07-18;202507-MARKT1;Markt am Bornstedter Feld;Kartenzahlung Haushalt;-207.43;8691.45;kontoauszuege/Haushalt_2025-07.pdf
