Buchungstag;Valuta;Referenz;Auftraggeber_Empfänger;Buchungstext;Betrag_EUR;Saldo_EUR;Belegdatei
2025-03-31;2025-03-31;VORTRAG;Havelbogen Bank eG;Saldovortrag 31.03.2025;0.00;9240.18;belege/Saldenbestaetigung_2025-04-01.pdf
2025-04-02;2025-04-02;202504-ENTNAHME;Bergmann Licht & Planung;Privatentnahme Geschäftskonto 7712;4700;13940.18;kontoauszuege/Jonas_2025-04.pdf
2025-04-03;2025-04-03;202504-J-H;Mara und Jonas Bergmann;Haus und Kinder / Dauerauftrag;-950;12990.18;kontoauszuege/Jonas_2025-04.pdf
2025-04-03;2025-04-03;202504-MIETE;Sven Hagedorn;Miete Feuerbachstraße 9;-890;12100.18;kontoauszuege/Jonas_2025-04.pdf
2025-04-07;2025-04-07;202504-OMA;Ursula Bergmann;Hilfe Haushalt und Pflege / Dauerauftrag;-380;11720.18;kontoauszuege/Jonas_2025-04.pdf
2025-04-14;2025-04-14;202504-KV;Krankenkasse;Freiwillige Kranken- und Pflegeversicherung;-612.44;11107.74;kontoauszuege/Jonas_2025-04.pdf
2025-04-14;2025-04-14;202504-RV;Versorgungskasse;Altersvorsorge Vertrag RV-62241;-260;10847.74;kontoauszuege/Jonas_2025-04.pdf
2025-04-22;2025-04-22;202504-KARTE;HavelCard Abrechnung;Kartenabrechnung 04/2025 / Jonas;-239.72;10608.02;kontoauszuege/Jonas_2025-04.pdf
2025-04-24;2025-04-24;202504-BAR;Geldautomat Potsdam;Bargeldauszahlung / Karte endet 2208;-180;10428.02;kontoauszuege/Jonas_2025-04.pdf
2025-04-30;2025-04-30;202504-GEB-JONAS;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;10421.12;kontoauszuege/Jonas_2025-04.pdf
2025-05-02;2025-05-02;202505-ENTNAHME;Bergmann Licht & Planung;Privatentnahme Geschäftskonto 7712;4875;15296.12;kontoauszuege/Jonas_2025-05.pdf
2025-05-05;2025-05-05;202505-J-H;Mara und Jonas Bergmann;Haus und Kinder / Dauerauftrag;-950;14346.12;kontoauszuege/Jonas_2025-05.pdf
2025-05-05;2025-05-05;202505-MIETE;Sven Hagedorn;Miete Feuerbachstraße 9;-890;13456.12;kontoauszuege/Jonas_2025-05.pdf
2025-05-06;2025-05-06;202505-OMA;Ursula Bergmann;Hilfe Haushalt und Pflege / Dauerauftrag;-380;13076.12;kontoauszuege/Jonas_2025-05.pdf
2025-05-12;2025-05-12;202505-KV;Krankenkasse;Freiwillige Kranken- und Pflegeversicherung;-612.44;12463.68;kontoauszuege/Jonas_2025-05.pdf
2025-05-14;2025-05-14;202505-RV;Versorgungskasse;Altersvorsorge Vertrag RV-62241;-260;12203.68;kontoauszuege/Jonas_2025-05.pdf
2025-05-19;2025-05-19;202505-KARTE;HavelCard Abrechnung;Kartenabrechnung 05/2025 / Jonas;-250.72;11952.96;kontoauszuege/Jonas_2025-05.pdf
2025-05-26;2025-05-26;202505-BAR;Geldautomat Potsdam;Bargeldauszahlung / Karte endet 2208;-180;11772.96;kontoauszuege/Jonas_2025-05.pdf
2025-06-02;2025-06-02;202505-GEB-JONAS;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;11766.06;kontoauszuege/Jonas_2025-06.pdf
2025-06-02;2025-06-02;202506-ENTNAHME;Bergmann Licht & Planung;Privatentnahme Geschäftskonto 7712;5050;16816.06;kontoauszuege/Jonas_2025-06.pdf
2025-06-03;2025-06-03;202506-J-H;Mara und Jonas Bergmann;Haus und Kinder / Dauerauftrag;-950;15866.06;kontoauszuege/Jonas_2025-06.pdf
2025-06-03;2025-06-03;202506-MIETE;Sven Hagedorn;Miete Feuerbachstraße 9;-890;14976.06;kontoauszuege/Jonas_2025-06.pdf
